obj_id,quartile,delta_theta,mse,perceptual
24,Q1,90,0.0030483135487884283,0.09037250280380249
24,Q1,90,0.003914899192750454,0.10620135068893433
24,Q1,90,0.005553802475333214,0.11329108476638794
24,Q1,90,0.004895057994872332,0.11035788059234619
24,Q1,90,0.004294162150472403,0.11058735847473145
24,Q1,90,0.00355098326690495,0.09746050834655762
24,Q1,90,0.0048293848522007465,0.10393494367599487
24,Q1,90,0.004620848223567009,0.10798430442810059
83,Q1,90,0.004441453609615564,0.09248709678649902
83,Q1,90,0.005631452891975641,0.11966812610626221
83,Q1,90,0.005902906879782677,0.11380404233932495
83,Q1,90,0.008672368712723255,0.16257154941558838
83,Q1,90,0.006850427016615868,0.13672655820846558
83,Q1,90,0.0054247318767011166,0.12281399965286255
83,Q1,90,0.007725182455033064,0.14580106735229492
83,Q1,90,0.005579402670264244,0.11243003606796265
72,Q1,90,0.015287869609892368,0.15887272357940674
72,Q1,90,0.016109639778733253,0.1657375693321228
72,Q1,90,0.014835980720818043,0.13684207201004028
72,Q1,90,0.01571480743587017,0.1626976728439331
72,Q1,90,0.020357733592391014,0.16634392738342285
72,Q1,90,0.01713300123810768,0.157395601272583
72,Q1,90,0.014061414636671543,0.15396952629089355
72,Q1,90,0.01813187450170517,0.17330729961395264
92,Q1,90,0.012455410324037075,0.17388993501663208
92,Q1,90,0.012513522990047932,0.19040191173553467
92,Q1,90,0.010345323011279106,0.11396580934524536
92,Q1,90,0.012872803024947643,0.19742590188980103
92,Q1,90,0.01311261486262083,0.21251583099365234
92,Q1,90,0.01736099272966385,0.1294528841972351
92,Q1,90,0.02121054381132126,0.18671363592147827
92,Q1,90,0.012762109749019146,0.1934492588043213
87,Q1,90,0.015150591731071472,0.14505243301391602
87,Q1,90,0.014027915894985199,0.15338057279586792
87,Q1,90,0.015466186217963696,0.14657986164093018
87,Q1,90,0.013865734450519085,0.1530141830444336
87,Q1,90,0.016024423763155937,0.2028055191040039
87,Q1,90,0.014880121685564518,0.187940776348114
87,Q1,90,0.017241131514310837,0.20060968399047852
87,Q1,90,0.012378132902085781,0.14573532342910767
2,Q1,90,0.009853742085397243,0.18670570850372314
2,Q1,90,0.018396230414509773,0.20344269275665283
2,Q1,90,0.010347497649490833,0.18466055393218994
2,Q1,90,0.009477692656219006,0.1975122094154358
2,Q1,90,0.010141528211534023,0.2031846046447754
2,Q1,90,0.011770784854888916,0.15108919143676758
2,Q1,90,0.016361400485038757,0.2326306700706482
2,Q1,90,0.009207826107740402,0.18298614025115967
53,Q1,90,0.018207935616374016,0.17389577627182007
53,Q1,90,0.01659954898059368,0.18490493297576904
53,Q1,90,0.017728596925735474,0.16242289543151855
53,Q1,90,0.017651863396167755,0.16406512260437012
53,Q1,90,0.02086549811065197,0.1623327136039734
53,Q1,90,0.0233257208019495,0.20786052942276
53,Q1,90,0.025528565049171448,0.20249563455581665
53,Q1,90,0.01658681593835354,0.14124155044555664
88,Q2,90,0.013648380525410175,0.2081030011177063
88,Q2,90,0.009868843480944633,0.20790815353393555
88,Q2,90,0.006368486676365137,0.17534136772155762
88,Q2,90,0.00816110149025917,0.17798960208892822
88,Q2,90,0.01090318989008665,0.1891489028930664
88,Q2,90,0.008091030642390251,0.1791973114013672
88,Q2,90,0.007707338780164719,0.17487740516662598
88,Q2,90,0.011336383409798145,0.16923779249191284
30,Q2,90,0.010607197880744934,0.19866430759429932
30,Q2,90,0.011931143701076508,0.2096220850944519
30,Q2,90,0.012239072471857071,0.214819073677063
30,Q2,90,0.0085982671007514,0.18944352865219116
30,Q2,90,0.010094746015965939,0.19565564393997192
30,Q2,90,0.008622907102108002,0.1914757490158081
30,Q2,90,0.00854917149990797,0.19382596015930176
30,Q2,90,0.00905271153897047,0.19098317623138428
61,Q2,90,0.010891211219131947,0.17134428024291992
61,Q2,90,0.012408160604536533,0.17520052194595337
61,Q2,90,0.01138768345117569,0.20580315589904785
61,Q2,90,0.010150543414056301,0.2191028594970703
61,Q2,90,0.01406385749578476,0.19640988111495972
61,Q2,90,0.011607256717979908,0.2149815559387207
61,Q2,90,0.01065774541348219,0.20175492763519287
61,Q2,90,0.007479472551494837,0.16015994548797607
64,Q2,90,0.019568050280213356,0.20204949378967285
64,Q2,90,0.013818743638694286,0.28057777881622314
64,Q2,90,0.01663014106452465,0.23972952365875244
64,Q2,90,0.015635378658771515,0.2791334390640259
64,Q2,90,0.017748432233929634,0.2536221742630005
64,Q2,90,0.018659720197319984,0.19932180643081665
64,Q2,90,0.01679099164903164,0.2105334997177124
64,Q2,90,0.016994928941130638,0.2406526803970337
93,Q2,90,0.014324123971164227,0.2827523946762085
93,Q2,90,0.010680347681045532,0.2630676031112671
93,Q2,90,0.016027800738811493,0.28764307498931885
93,Q2,90,0.01153440773487091,0.2675001621246338
93,Q2,90,0.015426489524543285,0.29580557346343994
93,Q2,90,0.010850496590137482,0.27138084173202515
93,Q2,90,0.01305659580975771,0.2709963917732239
93,Q2,90,0.012926165945827961,0.26936066150665283
52,Q2,90,0.027552790939807892,0.3197094202041626
52,Q2,90,0.037126678973436356,0.3377932906150818
52,Q2,90,0.03339879587292671,0.3551226258277893
52,Q2,90,0.03722215071320534,0.37835729122161865
52,Q2,90,0.04215477779507637,0.38713741302490234
52,Q2,90,0.03928239271044731,0.37778282165527344
52,Q2,90,0.04185439646244049,0.38205820322036743
52,Q2,90,0.0350659005343914,0.3578730821609497
22,Q3,90,0.02257888950407505,0.3333338499069214
22,Q3,90,0.020493345335125923,0.3368183374404907
22,Q3,90,0.02789498306810856,0.34589725732803345
22,Q3,90,0.044615376740694046,0.3480947017669678
22,Q3,90,0.05352961644530296,0.4180917739868164
22,Q3,90,0.029630303382873535,0.34725379943847656
22,Q3,90,0.030378663912415504,0.37804746627807617
22,Q3,90,0.022395292297005653,0.3589777946472168
85,Q3,90,0.08009310811758041,0.39009034633636475
85,Q3,90,0.05591874197125435,0.3270213007926941
85,Q3,90,0.0870177149772644,0.4436085820198059
85,Q3,90,0.058796655386686325,0.349589467048645
85,Q3,90,0.10111287981271744,0.4657188653945923
85,Q3,90,0.04978863522410393,0.33808499574661255
85,Q3,90,0.06652574986219406,0.4150248169898987
85,Q3,90,0.1028989776968956,0.4427151083946228
75,Q3,90,0.03615885600447655,0.4273316264152527
75,Q3,90,0.023997314274311066,0.4000190496444702
75,Q3,90,0.025328941643238068,0.44227302074432373
75,Q3,90,0.01774764247238636,0.32848620414733887
75,Q3,90,0.02515556663274765,0.38101160526275635
75,Q3,90,0.029134320095181465,0.37941455841064453
75,Q3,90,0.018920786678791046,0.3553897738456726
75,Q3,90,0.03739918768405914,0.39711254835128784
3,Q4,90,0.03514528647065163,0.401069700717926
3,Q4,90,0.08978419750928879,0.5798857808113098
3,Q4,90,0.06813400238752365,0.5414678454399109
3,Q4,90,0.029103128239512444,0.3584727644920349
3,Q4,90,0.0718262568116188,0.5785728693008423
3,Q4,90,0.039091844111680984,0.4145519733428955
3,Q4,90,0.030638931319117546,0.3679274320602417
3,Q4,90,0.03911907598376274,0.4091845750808716
15,Q4,90,0.03859223797917366,0.430141806602478
15,Q4,90,0.058515965938568115,0.5121015906333923
15,Q4,90,0.04259158670902252,0.4733915328979492
15,Q4,90,0.05935589596629143,0.4799215793609619
15,Q4,90,0.07416586577892303,0.5664277672767639
15,Q4,90,0.06064362823963165,0.5527447462081909
15,Q4,90,0.04554574191570282,0.5008212327957153
15,Q4,90,0.09882893413305283,0.5853517055511475
38,Q4,90,0.03426676616072655,0.5234807729721069
38,Q4,90,0.017167724668979645,0.4402111768722534
38,Q4,90,0.017375105991959572,0.44241464138031006
38,Q4,90,0.021707916632294655,0.5017491579055786
38,Q4,90,0.02484121359884739,0.5175917148590088
38,Q4,90,0.01631856895983219,0.4254534840583801
38,Q4,90,0.022147512063384056,0.4887109398841858
38,Q4,90,0.01974617876112461,0.4707658886909485
21,Q4,90,0.09886794537305832,0.6489068865776062
21,Q4,90,0.07603836804628372,0.5256996750831604
21,Q4,90,0.11357461661100388,0.659654974937439
21,Q4,90,0.13368605077266693,0.684369683265686
21,Q4,90,0.1059257909655571,0.6451023817062378
21,Q4,90,0.08120917528867722,0.5829334855079651
21,Q4,90,0.11165812611579895,0.6829497218132019
21,Q4,90,0.10563167929649353,0.6542484164237976
